op_side,op_type,op_name,full_op_name,op_occurrences,op_total_time(ms),op_avg_time(ms),total_proportion,subgraph,pid
Host,Conv2DBackpropFilter,Conv2DBackpropFilter-op124,Gradients/Default/network-WithLossCell/_backbone-LeNet5/conv1-Conv2d/gradConv2D/Conv2DBackpropFilter-op124,5625,91854.7,16.3297,0.50975,Default,62
Host,ReluGrad,ReluGrad-op122,Gradients/Default/network-WithLossCell/_backbone-LeNet5/relu-ReLU/gradReLU/ReluGrad-op122,5625,846,0.1504,0.0046949,Default,62
Host,MaxPoolGrad,MaxPoolGrad-op121,Gradients/Default/network-WithLossCell/_backbone-LeNet5/max_pool2d-MaxPool2d/gradMaxPool/MaxPoolGrad-op121,5625,13583.6,2.41486,0.0753823,Default,62
Host,ApplyMomentum,ApplyMomentum-op125,Default/optimizer-Momentum/ApplyMomentum-op125,5625,39.7058,0.00705881,0.000220348,Default,62
Host,Conv2DBackpropInput,Conv2DBackpropInput-op119,Gradients/Default/network-WithLossCell/_backbone-LeNet5/conv2-Conv2d/gradConv2D/Conv2DBackpropInput-op119,5625,13104.2,2.32964,0.0727223,Default,62
Host,Conv2DBackpropFilter,Conv2DBackpropFilter-op118,Gradients/Default/network-WithLossCell/_backbone-LeNet5/conv2-Conv2d/gradConv2D/Conv2DBackpropFilter-op118,5625,10312.6,1.83334,0.0572298,Default,62
Host,ReluGrad,ReluGrad-op117,Gradients/Default/network-WithLossCell/_backbone-LeNet5/relu-ReLU/gradReLU/ReluGrad-op117,5625,199.361,0.035442,0.00110636,Default,62
Host,MatMul,MatMul-op101,Gradients/Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/gradMatMul/MatMul-op101,5625,92.4322,0.0164324,0.000512955,Default,62
Host,ReLU,ReLU-op92,Default/network-WithLossCell/_backbone-LeNet5/relu-ReLU/ReLU-op92,5625,948.835,0.168682,0.00526559,Default,62
Host,MaxPool,MaxPool-op85,Default/network-WithLossCell/_backbone-LeNet5/max_pool2d-MaxPool2d/MaxPool-op85,5625,12710.8,2.2597,0.070539,Default,62
Host,MatMul,MatMul-op96,Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/MatMul-op96,5625,79.3728,0.0141107,0.000440481,Default,62
Host,ApplyMomentum,ApplyMomentum-op113,Default/optimizer-Momentum/ApplyMomentum-op113,5625,6.56554,0.00116721,3.64356e-05,Default,62
Host,SparseSoftmaxCrossEntropyWithLogits,SparseSoftmaxCrossEntropyWithLogits-op98,Default/network-WithLossCell/_loss_fn-SoftmaxCrossEntropyWithLogits/SparseSoftmaxCrossEntropyWithLogits-op98,5625,329.043,0.0584965,0.00182603,Default,62
Host,MatMul,MatMul-op90,Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/MatMul-op90,5625,1665.8,0.296141,0.00924437,Default,62
Host,SparseSoftmaxCrossEntropyWithLogits,SparseSoftmaxCrossEntropyWithLogits-op99,Gradients/Default/network-WithLossCell/_loss_fn-SoftmaxCrossEntropyWithLogits/gradSparseSoftmaxCrossEntropyWithLogits/SparseSoftmaxCrossEntropyWithLogits-op99,5625,296.064,0.0526335,0.00164301,Default,62
Host,ApplyMomentum,ApplyMomentum-op126,Default/optimizer-Momentum/ApplyMomentum-op126,5625,18.2554,0.0032454,0.000101309,Default,62
