Gradients/Default/network-WithLossCell/_loss_fn-MSELoss/gradSquare/Mul-op30;HostCpuOps;85129657238,0.008666 85486601947,0.003018 85827891344,0.002897 87094927811,0.002972 87796776733,0.002544 88474731408,0.002859 89316119063,0.00304 90279784907,0.002893 91148868906,0.003702 92153757828,0.002652 93152878276,0.002802 94091698583,0.002599 95482585143,0.002978 96111365257,0.003092 96781663417,0.002967 97455832965,0.003049 98149591434,0.00638 98735299828,0.00284 99358803997,0.00311 100174496037,0.003072 100855165867,0.003367 101564049337,0.003373 102170583929,0.003822 102873740631,0.007912 103767428772,0.003098 104143627203,0.002791 104793899989,0.003311 105263010997,0.003378 105850430166,0.003864 106331010927,0.003209 106938370402,0.005758 108148594965,0.002817 108939906923,0.002828 109469695284,0.002879 109981310238,0.003292 110416431287,0.002717 111024984336,0.00298 111622670259,0.002768 112136728857,0.002419 112855894282,0.006971 113377884439,0.00277 113862480355,0.006723 114368817630,0.002824 115094018089,0.002904 116443379940,0.002732 117376619418,0.003151 118044854965,0.003006 118491464464,0.002406 118973308148,0.002506 119462116540,0.003156 120086551339,0.003284 120380673991,0.002846 120675100895,0.003305 120991601426,0.002723 121334804400,0.002888 121635425153,0.002866 121944217609,0.003568 122237546890,0.002884 122531170913,0.002708 122826143178,0.002902 123138312243,0.002841 123428379458,0.003073 123729204271,0.002995 124029258686,0.002647 124318074537,0.00276 124601403634,0.002924 124901876995,0.002006 125201359941,0.002776 125504632278,0.0064 126086384719,0.003213 126398091774,0.012634 126688800640,0.003313 126986774965,0.003183 127293315464,0.002904 127595904909,0.003424 127897507435,0.003052 128218733383,0.003077 128512070210,0.003248 128818091968,0.002644 129107381062,0.003096 129438247072,0.002753 129739360980,0.002996 130039265661,0.003564 130338299499,0.002706 130641830641,0.002782 130952357647,0.002983 131302786934,0.003004 131690117158,0.002598 132930342144,0.003377 133577758006,0.002897 134427614994,0.002799 135159760739,0.002899 135645653073,0.002579 136102236173,0.003306 136500782969,0.002942 136781039642,0.003829 137074295631,0.003027 137371167536,0.003016 137686105003,0.003456 137972639695,0.002737 
Default/network-WithLossCell/_loss_fn-MSELoss/Square-op29;HostCpuOps;85129606375,0.019882 85486587527,0.004756 85827873954,0.004489 87094913040,0.004789 87796758214,0.00474 88474716345,0.005037 89316103822,0.004658 90279770326,0.005021 91148852175,0.005151 92153744136,0.004353 93152863249,0.004641 94091684753,0.004499 95482570195,0.004382 96111344225,0.005014 96781647484,0.005358 97455817566,0.004936 98149491481,0.073754 98735285780,0.004863 99358789862,0.004475 100174482112,0.004567 100855142049,0.005235 101564031721,0.004383 102170564156,0.005017 102873708655,0.009045 103767412826,0.00559 104143613036,0.004989 104793885150,0.004883 105262993393,0.004303 105850415306,0.004801 106330996273,0.004126 106937188686,0.003893 108148540640,0.004635 108939842743,0.004699 109469637845,0.004669 109981247167,0.004578 110416378742,0.004425 111024924237,0.004004 111622583366,0.00429 112136663498,0.004831 112854886321,0.005278 113377823384,0.004502 113862228189,0.004449 114368752588,0.005088 115093964704,0.004129 116443320897,0.004473 117376562451,0.004634 118044752647,0.004434 118491412921,0.004237 118973252119,0.004594 119462040041,0.004353 120086489532,0.005123 120380615924,0.003928 120675040274,0.00573 120991544073,0.003969 121334746709,0.004675 121635365151,0.004843 121944157225,0.004643 122237486472,0.004754 122531113093,0.004354 122826079527,0.004651 123138253204,0.004331 123428307221,0.004338 123729146521,0.004342 124029201332,0.00456 124318015724,0.004677 124601350260,0.004042 124901831103,0.003862 125201301328,0.004254 125501458454,0.005175 126086327899,0.005041 126398031830,0.004675 126688740845,0.004331 126986715529,0.005751 127293259258,0.004074 127595846052,0.004201 127897448772,0.004687 128218675046,0.0046 128512003130,0.004294 128818030912,0.004354 129107267743,0.00471 129438189892,0.004197 129739302757,0.004236 130039205946,0.004749 130338246677,0.004991 130641768254,0.004244 130952263056,0.004102 131302728387,0.004505 131690062329,0.004391 132930284872,0.004072 133577701260,0.004679 134427550224,0.003967 135159693213,0.00419 135645598572,0.005026 136102178863,0.004108 136500721912,0.005033 136780929315,0.040788 137074239159,0.004371 137371109310,0.004483 137686043743,0.004576 137972579745,0.004601 
Default/network-WithLossCell/_loss_fn-MSELoss/ReduceMean-op31;HostCpuOps;85129700604,0.007052 85486658080,0.007749 85827931241,0.006981 87094967119,0.007538 87796817568,0.00709 88474781940,0.007494 89316388992,0.011129 90279823997,0.007079 91148916010,0.008643 92153809601,0.007582 93152932902,0.006991 94091746974,0.007424 95482640072,0.008539 96111415999,0.00759 96781725086,0.007427 97455872194,0.006887 98149732874,0.009648 98735371959,0.007167 99358858281,0.006614 100174551751,0.007723 100855219046,0.006839 101564105821,0.007819 102170647373,0.008094 102873814093,0.008464 103767476605,0.007787 104143669565,0.015096 104793940247,0.007914 105263085956,0.00752 105850475644,0.0076 106331060663,0.007772 106937200773,0.007279 108148553319,0.00721 108939857372,0.008575 109469650558,0.008207 109981261907,0.007357 110416390258,0.007504 111024937794,0.008152 111622595398,0.027483 112136677491,0.007612 112854898814,0.007109 113377836561,0.008503 113862239868,0.007043 114368773173,0.007458 115093976451,0.007703 116443334760,0.007513 117376575494,0.006839 118044775812,0.046771 118491425239,0.007137 118973265395,0.007026 119462052426,0.006436 120086504911,0.007625 120380628311,0.007389 120675055318,0.00761 120991555777,0.007072 121334760548,0.007352 121635379006,0.007746 121944171565,0.007793 122237500242,0.00736 122531127126,0.008165 122826092562,0.008108 123138267033,0.00773 123428320157,0.016832 123729160107,0.007216 124029214028,0.008241 124318030292,0.00703 124601362381,0.007071 124901842408,0.005968 125201314345,0.007415 125504401021,0.014058 126086341510,0.007477 126398046172,0.007804 126688754214,0.007118 126986730467,0.007687 127293271720,0.006716 127595859469,0.008528 127897461882,0.007288 128218688820,0.007806 128512024513,0.007187 128818044419,0.007575 129107281239,0.059845 129438203544,0.00779 129739315114,0.007759 130039219692,0.007642 130338260006,0.007944 130641782232,0.007178 130952274846,0.018917 131302742193,0.007483 131690074932,0.007905 132930298182,0.007335 133577713193,0.007606 134427563289,0.008062 135159718838,0.007728 135645613290,0.0072 136102191450,0.007418 136500736097,0.008423 136780980725,0.007591 137074252648,0.007365 137371121641,0.008536 137686057737,0.008174 137972593238,0.007783 
Default/network-WithLossCell/_loss_fn-MSELoss/Sub-op28;HostCpuOps;85129558545,0.013413 85486547226,0.006144 85827835930,0.004887 87094874052,0.005387 87796701705,0.00554 88474678793,0.004372 89316047374,0.005324 90279737100,0.004633 91148805726,0.00536 92153705284,0.004934 93152802658,0.005239 94091651183,0.00446 95482530140,0.004785 96111308084,0.005391 96781579834,0.005032 97455776068,0.004974 98149268559,0.005962 98735238235,0.005138 99358752567,0.005742 100174438035,0.005338 100855094229,0.008854 101563987037,0.009048 102170497412,0.012495 102871566182,0.009122 103767346236,0.018437 104143575278,0.008014 104793846312,0.007334 105262941867,0.009724 105850357556,0.00937 106330932853,0.008272 106937174969,0.005138 108148526925,0.004958 108939814504,0.004741 109469623396,0.004903 109981232943,0.005259 110416364146,0.004781 111024911228,0.004862 111622568452,0.004615 112136650525,0.004486 112854870884,0.004544 113377810193,0.004761 113862215162,0.004447 114368732164,0.00461 115093950932,0.004569 116443306926,0.004591 117376549094,0.004679 118044740249,0.004403 118491398397,0.004695 118973238861,0.004612 119462026737,0.004617 120086474897,0.005493 120380601654,0.004759 120675026162,0.005535 120991528662,0.005884 121334733409,0.004872 121635349945,0.005009 121944143688,0.004878 122237472207,0.004914 122531099694,0.004605 122826063833,0.00535 123138239539,0.004637 123428293442,0.004735 123729133622,0.005015 124029187181,0.004479 124318002159,0.004768 124601336806,0.004935 124901820168,0.004409 125201286608,0.004553 125501429483,0.005431 126086313362,0.00526 126398018187,0.004921 126688725846,0.004959 126986702293,0.00511 127293245384,0.004611 127595832632,0.005042 127897433263,0.005789 128218661891,0.004581 128511990005,0.00454 128818017573,0.004727 129107253314,0.004766 129438177729,0.00453 129739287980,0.005205 130039192737,0.005432 130338232191,0.00549 130641754785,0.005159 130952248683,0.004782 131302715311,0.004786 131690048397,0.004291 132930272124,0.004762 133577686451,0.004726 134427537737,0.004577 135159678309,0.005216 135645571526,0.005583 136102164727,0.004875 136500708107,0.004868 136780914873,0.004927 137074225646,0.005448 137371095039,0.004833 137686030037,0.004972 137972563987,0.005281 
Gradients/Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/gradBiasAdd/BiasAddGrad-op33;HostCpuOps;85129796551,0.004521 85486701679,0.00256 85827981747,0.003385 87095010001,0.002814 87796860522,0.002712 88474824199,0.002695 89316456292,0.003008 90279862198,0.002568 91148980078,0.002981 92153850249,0.002497 93152974108,0.002611 94091796708,0.002532 95482718817,0.002692 96111460675,0.002866 96781770704,0.002993 97455916787,0.002294 98149792265,0.002741 98735414781,0.00247 99358899999,0.002537 100174595199,0.002381 100855265136,0.002822 101564154101,0.002314 102170717525,0.003069 102873895470,0.002817 103767520196,0.002439 104143721377,0.002633 104793981877,0.003076 105263143155,0.002647 105850523757,0.002299 106331099885,0.002544 106938390599,0.002824 108148607720,0.002601 108939921145,0.002752 109469708779,0.002553 109981326306,0.002872 110416444530,0.002476 111024999789,0.002562 111622683490,0.002573 112136742667,0.002653 112855918721,0.003248 113377899337,0.003043 113862506824,0.003031 114368831519,0.002749 115094030673,0.002588 116443394460,0.002724 117376675215,0.002826 118044869397,0.002596 118491476679,0.002965 118973322260,0.002594 119462137991,0.002766 120086567941,0.003137 120380688109,0.002761 120675116991,0.002848 120991614553,0.00284 121334819799,0.002425 121635438956,0.002792 121944233620,0.00267 122237560628,0.002542 122531185087,0.002736 122826157304,0.002754 123138327709,0.002571 123428393697,0.002582 123729219624,0.003072 124029271573,0.002589 124318090755,0.002597 124601416747,0.002636 124901888603,0.002713 125201373249,0.002684 125504654804,0.003504 126086397706,0.002444 126398117642,0.002996 126688816345,0.002887 126986791251,0.002584 127293329891,0.002504 127595920332,0.002664 127897544882,0.003176 128218749917,0.002714 128512083403,0.002575 128818107578,0.003084 129107405376,0.002735 129438261636,0.002561 129739374416,0.002569 130039281533,0.0026 130338311998,0.002275 130641847079,0.002773 130952371305,0.00257 131302801355,0.002615 131690128826,0.002576 132930356716,0.002765 133577772217,0.002648 134427628664,0.002511 135159772996,0.002697 135645692166,0.002851 136102249536,0.002728 136500797770,0.002875 136781053343,0.002619 137074309028,0.0026 137371181104,0.002564 137686120844,0.002751 137972654501,0.0033 
Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/MatMul-op26;HostCpuOps;85126117632,3.27892 85486376398,0.064719 85827674396,0.055703 87094743014,0.037594 87796555581,0.037399 88474567946,0.036711 89315932685,0.037294 90279619030,0.039052 91148664360,0.037619 92153595420,0.036105 93152691941,0.036182 94091537755,0.036275 95482400194,0.039452 96111159669,0.03692 96781464153,0.035684 97455661467,0.03772 98149113703,0.043126 98735075411,0.054045 99358628478,0.037988 100174275274,0.049564 100854982063,0.036233 101563872843,0.03761 102169589193,0.038896 102871425720,0.036477 103767235635,0.038229 104143470832,0.03626 104793679894,0.049805 105262798957,0.041654 105850194126,0.037173 106330821961,0.035294 106937088213,0.044329 108148453769,0.034836 108939712722,0.038589 109469541243,0.038962 109981136947,0.039904 110416284895,0.037404 111024832727,0.037177 111622490418,0.038107 112136548433,0.0566 112854794408,0.03628 113377708436,0.056817 113862135866,0.03738 114368637102,0.052055 115093872875,0.037622 116443213034,0.037702 117376188736,0.300536 118044667086,0.034359 118491302488,0.03862 118973154522,0.039163 119461949292,0.037207 120086393374,0.03779 120380520178,0.037733 120674923575,0.039444 120991444929,0.038956 121334651535,0.03692 121635265182,0.040314 121944059687,0.037393 122237390967,0.03697 122531003053,0.035752 122825967414,0.041399 123138159718,0.036477 123428210000,0.038914 123729048100,0.037762 124029104964,0.038804 124317916477,0.03813 124601258747,0.037331 124901748504,0.03624 125201206234,0.036594 125501306437,0.037851 126086234516,0.037045 126397936532,0.037334 126688636617,0.040553 126986617658,0.038809 127293162323,0.036828 127595752462,0.037297 127897352787,0.037273 128218575103,0.038995 128511906763,0.039923 128817610681,0.339457 129107150215,0.037364 129438099284,0.038019 129739212011,0.035164 130039113801,0.036752 130338156166,0.036015 130641667762,0.04171 130952168724,0.036823 131302606643,0.042153 131689947677,0.035563 132930172203,0.054085 133577605581,0.037899 134427459192,0.036357 135159584477,0.054852 135645478132,0.052872 136102085365,0.037607 136500625671,0.036881 136780833662,0.038407 137074144754,0.038511 137370994850,0.036764 137685844970,0.125921 137972469473,0.036513 
Default/optimizer-Momentum/ApplyMomentum-op35;HostCpuOps;85129921526,0.000814 85486789681,0.000693 85828070814,0.000639 87095114496,0.000784 87796947793,0.000676 88475186176,0.000779 89316566987,0.000715 90279949376,0.000644 91149103823,0.000751 92153966977,0.000645 93153055676,0.000729 94091872442,0.000673 95482802901,0.001026 96111540525,0.000634 96781865731,0.000679 97456067237,0.000703 98150215917,0.001422 98735529011,0.00068 99359004968,0.000693 100174683678,0.000704 100855372709,0.00102 101564315820,0.00092 102170815038,0.000667 102873998571,0.000821 103767622893,0.000702 104143801603,0.00065 104794086685,0.000722 105263235169,0.000718 105850651752,0.001088 106331176658,0.000802 106938456001,0.000747 108148653846,0.000703 108939979142,0.000683 109469791302,0.000814 109981381277,0.000712 110416493712,0.000658 111025054322,0.00063 111622737253,0.00068 112136801923,0.000713 112855995100,0.000849 113377959332,0.000872 113862575271,0.000638 114368885869,0.000668 115094075089,0.000701 116445685439,0.001333 117376733775,0.000644 118044916882,0.000662 118491521990,0.000843 118973371684,0.000839 119462188939,0.00072 120086623153,0.001376 120380744485,0.000684 120675175357,0.000738 120991670207,0.000634 121334871577,0.000715 121635496910,0.000748 121944288283,0.000852 122237615291,0.000884 122531240624,0.000679 122826216844,0.000755 123138391691,0.000691 123428453279,0.001018 123729272885,0.00137 124029323713,0.000782 124321031523,0.003958 124601465233,0.000696 124901927390,0.00049 125201430785,0.000781 125504763218,0.000752 126086446280,0.000708 126398179852,0.000685 126688871586,0.000767 126986846949,0.000732 127293384714,0.000693 127595973378,0.000869 127897607379,0.0007 128218802918,0.000717 128512140022,0.000707 128818163458,0.000762 129107481192,0.00076 129438315330,0.000674 129739456290,0.000862 130039333625,0.000629 130338377950,0.000895 130641905239,0.000783 130952427632,0.000651 131302855170,0.000697 131690177304,0.000525 132930408000,0.000733 133577830403,0.000683 134427678957,0.000613 135159839038,0.00069 135645741905,0.00075 136102302732,0.00069 136500851215,0.000788 136781108989,0.000686 137074358726,0.000695 137374936490,0.002189 137686178172,0.000833 137972704510,0.000652 
Default/optimizer-Momentum/ApplyMomentum-op34;HostCpuOps;85129883370,0.002778 85486763127,0.001509 85828041297,0.001235 87095066836,0.001464 87796917020,0.0015 88475112654,0.001773 89316529845,0.001168 90279922967,0.001149 91149069639,0.001701 92153935539,0.001431 93153026759,0.001158 94091846711,0.001229 95482775999,0.001167 96111515418,0.001203 96781835307,0.001409 97456007351,0.001208 98150066243,0.002062 98735501894,0.001379 99358974056,0.001154 100174656484,0.001338 100855344101,0.001469 101564261717,0.001116 102170784272,0.001553 102873966473,0.001724 103767576855,0.001169 104143778082,0.001395 104794036634,0.001244 105263206348,0.001749 105850612463,0.001487 106331150010,0.001248 106938403015,0.001259 108148618652,0.001899 108939933386,0.001939 109469721132,0.001447 109981338484,0.001389 110416456441,0.001436 111025011724,0.00138 111622695659,0.001515 112136755643,0.00203 112855934134,0.001311 113377910728,0.001364 113862520037,0.001266 114368843127,0.001875 115094041802,0.001334 116443406737,0.001305 117376687933,0.001361 118044880597,0.001264 118491487808,0.001206 118973333915,0.001962 119462150598,0.001342 120086581823,0.00135 120380701949,0.00136 120675129496,0.001366 120991627730,0.001293 121334831986,0.001372 121635451544,0.00137 121944245704,0.00131 122237573347,0.001527 122531197471,0.001327 122826170232,0.001617 123138339525,0.001322 123428406364,0.001354 123729232223,0.001864 124029283931,0.001286 124318103707,0.001293 124601428472,0.001462 124901898617,0.001249 125201385608,0.001527 125504669122,0.001472 126086409094,0.00118 126398131403,0.001299 126688828795,0.001291 126986803525,0.001594 127293342788,0.001762 127595933624,0.001513 127897560719,0.001364 128218761952,0.001392 128512096506,0.001798 128818120097,0.001245 129107418294,0.00158 129438273055,0.001355 129739386201,0.001897 130039293372,0.001262 130338322758,0.001466 130641860266,0.001709 130952383929,0.001784 131302813771,0.001225 131690140562,0.001619 132930368516,0.001461 133577785113,0.001336 134427639933,0.001413 135159799971,0.001442 135645703456,0.001392 136102262521,0.001242 136500809838,0.001372 136781065146,0.001527 137074320465,0.001276 137371193127,0.001449 137686135459,0.001879 137972667374,0.001839 
Gradients/Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/gradMatMul/MatMul-op32;HostCpuOps;85129740937,0.023358 85486677905,0.016567 85827950895,0.016607 87094989389,0.012939 87796837527,0.013879 88474801445,0.015058 89316421132,0.025942 90279842857,0.012612 91148938528,0.016152 92153830504,0.012179 93152952135,0.014539 94091779007,0.010133 95482667264,0.039627 96111436919,0.014694 96781745892,0.016465 97455895596,0.012696 98149759642,0.022207 98735390921,0.01672 99358877851,0.014813 100174571716,0.016306 100855241401,0.011323 101564129210,0.012196 102170674854,0.027077 102873840393,0.040011 103767499589,0.012405 104143696689,0.009843 104793960332,0.013883 105263110664,0.0183 105850495758,0.01993 106331079899,0.01299 106938424245,0.021907 108148634728,0.009687 108939951713,0.016702 109469738936,0.038641 109981357330,0.01335 110416471479,0.012929 111025028548,0.014893 111622711722,0.01611 112136776078,0.014043 112855958967,0.026094 113377927092,0.013199 113862541977,0.022599 114368861143,0.014667 115094056395,0.009337 116445610569,0.039032 117376706224,0.017166 118044896522,0.011211 118491502879,0.010184 118973350082,0.011566 119462167897,0.011992 120086600121,0.012849 120380719708,0.013639 120675148933,0.015005 120991644750,0.014197 121334849891,0.011243 121635470563,0.014869 121944263253,0.015221 122237591378,0.013382 122531214405,0.014805 122826188939,0.016365 123138356951,0.013726 123428425240,0.01668 123729249782,0.012672 124029300838,0.012247 124318121267,0.013868 124601445767,0.009933 124901912482,0.007618 125201404265,0.015992 125504714507,0.035534 126086424221,0.012373 126398150901,0.017043 126688845984,0.01528 126986822411,0.013917 127293360723,0.012798 127595951144,0.012067 127897579672,0.01622 128218779246,0.012631 128512114436,0.015824 128818138246,0.013887 129107435458,0.032938 129438291139,0.013984 129739430139,0.015973 130039309185,0.014179 130338346773,0.009086 130641879495,0.014446 130952401967,0.015596 131302831539,0.013765 131690155716,0.011732 132930385772,0.012814 133577804447,0.015281 134427656974,0.012103 135159816031,0.013048 135645721787,0.01079 136102279890,0.012636 136500827802,0.012291 136781083404,0.015689 137074336599,0.012057 137374850696,0.038854 137686154376,0.012763 137972683447,0.011505 
Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/BiasAdd-op27;HostCpuOps;85129500350,0.01496 85486484918,0.007421 85827794778,0.007481 87094832277,0.008525 87796654157,0.008024 88474641301,0.006674 89316008419,0.006966 90279699950,0.007014 91148750584,0.008338 92153667281,0.007548 93152763429,0.00773 94091609346,0.007467 95482479643,0.008126 96111269307,0.008165 96781541300,0.007261 97455736111,0.008876 98149206683,0.008572 98735172255,0.008741 99358712111,0.008613 100174392040,0.009152 100855055658,0.005758 101563953353,0.005877 102169811720,0.006085 102871514360,0.004996 103767310321,0.005688 104143543625,0.00473 104793800547,0.004986 105262894638,0.005396 105850315267,0.005667 106330893340,0.004861 106937144792,0.006059 108148498943,0.00527 108939763328,0.005764 109469591520,0.005856 109981188739,0.006445 110416333387,0.005765 111024881309,0.005887 111622539627,0.005526 112136618844,0.005524 112854840688,0.005767 113377777542,0.005902 113862185149,0.006061 114368701217,0.006166 115093921101,0.006474 116443261311,0.005881 117376513783,0.006666 118044711288,0.005251 118491351185,0.004821 118973206939,0.006486 119461996869,0.005969 120086443372,0.00639 120380569357,0.006165 120674975554,0.005862 120991496668,0.0065 121334700707,0.005805 121635317461,0.006769 121944110032,0.005899 122237439803,0.006184 122531069178,0.006294 122826029685,0.00632 123138207298,0.005398 123428260871,0.006336 123729100343,0.006861 124029156208,0.005356 124317967659,0.006088 124601307819,0.006112 124901794987,0.004578 125201254483,0.006527 125501355931,0.006753 126086283223,0.005412 126397985422,0.005785 126688691308,0.006351 126986669717,0.006036 127293212332,0.006188 127595802374,0.005418 127897401687,0.005268 128218627831,0.006816 128511957761,0.005555 128817973174,0.006177 129107198746,0.006521 129438148633,0.005708 129739258832,0.006088 130039162052,0.005923 130338203060,0.005863 130641721141,0.006129 130952216859,0.005888 131302676647,0.006321 131689993608,0.029572 132930239566,0.005692 133577655413,0.006207 134427507652,0.006203 135159650275,0.0061 135645541472,0.005839 136102134963,0.006123 136500675036,0.006607 136780883626,0.006742 137074194721,0.005598 137371064859,0.005338 137685992933,0.0062 137972517807,0.005824 
